会计培训老师（CPA、ACCA、中级会计等方向）,北京中公教育科技有限公司,12500,广州-天河区,民营公司,五险一金 专业培训 绩效奖金 年终奖金 定期体检 带薪年假,无需经验 本科 招若干人,10000人以上
财务咨询顾问,护道者网络科技有限公司,9000,广州-白云区,民营公司,员工旅游 餐饮补贴 年终奖金 单双休 专业培训 法定节假日 下午茶,3-4年经验 本科 招1人,少于50人
售前方案顾问（财务方向）,广州翰智软件有限公司,20833,广州,民营公司,五险一金 交通补贴 餐饮补贴 绩效奖金 年终奖金 定期体检 员工旅游 股票期权,5-7年经验 本科 招若干人,500-1000人
代理记账会计经理,广州天源税务师事务所（普通合伙）,7000,广州-天河区,民营公司,周末双休 带薪年假 五险一金 节日福利 全勤奖 绩效奖金 通讯补贴,3-4年经验 本科 招2人,少于50人
财务总监,广州元通电子商务科技有限公司,30000,广州,民营公司,五险一金 定期体检 餐饮补贴 年终奖金 专业培训 周末双休 节日福利,5-7年经验 本科 招1人,少于50人
高级财务经理(广州公司上班),广西优居科技有限公司,17500,异地招聘,民营公司,五险 绩效奖金,5-7年经验 本科 招1人,1000-5000人
财务管培生,广西太古可口可乐饮料有限公司,5250,广州,合资,,在校生/应届生 本科 招5人,
高级财务经理,广州优居房地产经纪有限公司,17500,广州-海珠区,民营公司,转正买社保 专业房产知识 高级写字楼 节假日礼品 员工生日会,5-7年经验 本科 招1人,500-1000人
财务总监,文峰荟（广州）创业投资管理有限公司,45833,广州,民营公司,专业培训 出国机会 员工旅游 五险一金 弹性工作 定期体检 通讯补贴 补充医疗保险 股票期权 周四运动聚餐,10年以上经验 本科 招1人,少于50人
财务副总经理,韵洪传播科技（广州）有限公司,21000,广州-越秀区,国企,五险一金,5-7年经验 本科 招1人,150-500人
财务经理,德高信控股集团有限公司,21666,广州-越秀区,民营公司,五险一金 专业培训 通讯补贴 定期体检 年终奖金 正装补贴 晋升空间大 企业文化好 带薪年假 绩效奖金,8-9年经验 本科 招1人,150-500人
集团内控经理,广东全优加教育发展有限公司,16500,广州-天河区,民营公司,餐饮补贴 专业培训 绩效奖金 年终奖金 补充医疗保险 五险一金 周末双休,5-7年经验 本科 招1人,1000-5000人
财务副经理,广州广电运通金融电子股份有限公司,14583,广州,上市公司,五险一金 餐饮补贴 定期体检 免费班车 补充医疗保险 年终奖金,8-9年经验 本科 招若干人,10000人以上
成本会计（总部）,广州金逸影视传媒股份有限公司,5250,广州,上市公司,五险一金 免费观影 周末双休 包午餐,1年经验 本科 招1人,5000-10000人
财务主管,广州海伦堡物业管理有限公司,9500,广州-番禺区,民营公司,五险一金 免费班车 交通补贴 餐饮补贴 绩效奖金 弹性工作 包住 带薪年假,2年经验 本科 招1人,1000-5000人
财务经理,珠江惠仁医疗健康投资有限公司从化医养服务分公司,17500,广州-从化区,民营公司,五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 定期体检 员工旅游,8-9年经验 本科 招1人,150-500人
财务总监,德致商成信息科技集团有限公司,41666,广州-天河区,民营公司,全勤奖 带薪年假 工龄奖 五险 生日会 员工旅游 周末双休,10年以上经验 本科 招1人,150-500人
财务总监（双休+五险一金）,广东拓臣科技发展有限公司,20000,广州-白云区,民营公司,带薪年假 法定假期 带薪培训 节日福利 绩效奖金 全勤奖 员工旅游 通讯补贴 社保福利 周末双休,10年以上经验 本科 招1人,50-150人
Financial Manager(want Malaysian),广州友谊人力资源服务有限公司,35000,异地招聘,国企,周末双休 专业培训 五险一金,5-7年经验 本科 招1人,50-150人
财务经理（急招）,广州佰业丰食品有限公司,12500,广州-海珠区,民营公司,,5-7年经验 本科 招1人,
会计主管/ Head of Accounts,协力管理咨询（深圳）有限公司上海分公司,20000,广州,外资（非欧美）,五险一金,10年以上经验 本科 招1人,150-500人
风险管理项目经理,致同会计师事务所广东分所,12500,广州,民营公司,周末双休 弹性工作 五险一金 带薪年假 绩效奖金 节日福利 专业培训 通讯补贴 高温补贴,3-4年经验 本科 招若干人,1000-5000人
高级财务经理,三七互娱,27500,广州,上市公司,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 定期体检 电脑补助,8-9年经验 本科 招1人,1000-5000人
跨境电商财务主管（公积金、社保、大小周）,广州唯非网络科技有限公司,11500,广州-白云区,民营公司,,5-7年经验 本科 招1人,少于50人
财务主任-总账（南沙）,维他奶（上海）有限公司,10000,广州-南沙区,外资（欧美）,周末双休 带薪年假 五险一金 餐饮补贴 员工旅游 通讯补贴 专业培训 年终奖金 定期体检,5-7年经验 本科 招2人,500-1000人
财务总监,华康海宇财富管理有限公司,30000,广州-黄埔区,民营公司,五险一金 定期体检 员工旅游 绩效奖金 节日福利 周末双休 法定假期,10年以上经验 本科 招1人,10000人以上
财务总监,广州兆成景置业有限公司,16000,广州,民营公司,做五休二 周末双休 带薪年假 五险一金 绩效奖金 节日福利 专业培训 交通补贴 员工旅游 定期体检,5-7年经验 本科 招1人,50-150人
投资经理,广州花城创业投资管理有限公司,18750,广州-天河区,民营公司,五险一金 补充医疗保险 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检 专业培训,3-4年经验 本科 招1人,少于50人
核算资深总账会计 (MJ002789),SHEIN,18500,异地招聘,民营公司,,在校生/应届生 本科 招若干人,5000-10000人
审计助理,York Best Consulting Co., Limited Guangzhou Representative Office 香港日达咨询服务有限公司广州代表处,3750,广州-越秀区,外企代表处,餐饮补贴 年终奖金 五险 出差补贴,1年经验 本科 招1人,少于50人
首席财务官CFO,深圳市企企通科技有限公司,30000,广州-天河区,民营公司,五险一金 员工旅游 专业培训 弹性工作 餐饮补贴 交通补贴 绩效奖金 周末双休,10年以上经验 本科 招1人,500-1000人
应收助理经理,香港新世界集团成员-K11 Concepts Limited,19000,广州-天河区,外资（非欧美）,,8-9年经验 本科 招1人,150-500人
会计文员,广州青年之家物业管理有限公司,5500,广州-天河区,民营公司,五险一金 绩效奖金 弹性工作 做五休二 节日福利 专业培训 全勤奖 带薪年假,1年经验 本科 招1人,少于50人
IT审计岗,广发银行股份有限公司信用卡中心,16666,广州,合资,五险一金 餐饮补贴 年终奖金 定期体检,1年经验 本科 招1人,10000人以上
FSSC总监,广州恩飞投资有限公司,45833,广州-越秀区,民营公司,五险一金 餐饮补贴 补充医疗保险 补充公积金 专业培训 出国机会 员工旅游 绩效奖金 免费班车 年终奖金,10年以上经验 大专 招1人,500-1000人
财务经理（外派）,广州粤泰集团股份有限公司,20000,广州,上市公司,五险一金 通讯补贴 绩效奖金 年终奖金 交通补贴 股票期权 周末双休,5-7年经验 本科 招3人,500-1000人
财务实习生,天健会计师事务所（特殊普通合伙）广东分所,1750,广州-黄埔区,民营公司,免费班车 弹性工作 交通补贴,在校生/应届生 本科 招3人,150-500人
高级课程研发,广东中审软件技术有限公司,9000,广州-天河区,民营公司,周末双休 带薪年假 节日福利 五险一金,2年经验 本科 招2人,50-150人
投资研究员,广东省联泰集团有限公司,9000,异地招聘,民营公司,五险一金 通讯补贴 定期体检 年终奖金 包吃 包住宿,2年经验 本科 招1人,5000-10000人
