财务经理/税务主管/CPA总监,广东达方律师事务所,12500,广州-越秀区,民营公司,,3-4年经验 本科 招2人,少于50人
会计培训老师（CPA、ACCA、中级会计等方向）,北京中公教育科技有限公司,12500,广州-天河区,民营公司,五险一金 专业培训 绩效奖金 年终奖金 定期体检 带薪年假,无需经验 本科 招若干人,10000人以上
注册会计师（CPA）,天健会计师事务所（特殊普通合伙）广东分所,17500,广州-黄埔区,民营公司,,3-4年经验 本科 招15人,150-500人
CPA教研员,深圳市升学文化传播有限公司,10500,广州,民营公司,五险一金 绩效奖金 全勤奖 节日福利 带薪年假 专业培训,2年经验 大专 招2人,1000-5000人
上市公司审计CPA项目经理,信加信（广东）会计师事务所（普通合伙）,17500,广州-天河区,创业公司,,5-7年经验 本科 招2人,少于50人
CPA/初级会计 ***讲师,上海泽稷教育培训有限公司,12500,异地招聘,民营公司,五险一金 定期体检 专业培训,2年经验 硕士 招若干人,150-500人
店长/储备店长（万胜围）,去K书全国连锁专业自习中心,10000,广州-海珠区,民营公司,五险一金 绩效奖金 节日福利 专业培训 加班补贴,2年经验 大专 招2人,50-150人
投行质量控制岗,广发证券股份有限公司,25000,异地招聘,上市公司,绩效奖金 带薪年假 公司规模大 管理规范 五险一金 上市公司,3-4年经验 硕士 招若干人,10000人以上
财务咨询顾问,护道者网络科技有限公司,9000,广州-白云区,民营公司,员工旅游 餐饮补贴 年终奖金 单双休 专业培训 法定节假日 下午茶,3-4年经验 本科 招1人,少于50人
APP网络推广（ASO\SEO）,广州枫车电子商务有限公司,9500,广州-白云区,民营公司,五险一金 餐饮补贴 弹性工作 定期体检 员工旅游 绩效奖金 年终奖金 通讯补贴,2年经验 本科 招若干人,150-500人
财务主管,凡菲（浙江）电子商务有限公司,9000,广州-番禺区,民营公司,,5-7年经验 大专 招1人,150-500人
成本副经理,广州酒家集团利口福食品有限公司,12500,广州,国企,五险一金 包吃 免费班车 节日福利 提供住宿,5-7年经验 本科 招1人,1000-5000人
英语翻译（中高级）,广州金十信息科技有限公司,12000,广州,民营公司,五险一金 餐饮补贴 定期体检 专业培训,1年经验 硕士 招若干人,150-500人
风控总监/风控负责人,深圳南乔基金管理有限公司,27500,广州-天河区,合资,五险一金 股票期权 餐饮补贴 通讯补贴 绩效奖金 交通补贴 岗位晋升 管理规范,8-9年经验 硕士 招1人,50-150人
高端保险经纪人,明亚保险经纪股份有限公司广东分公司,17500,广州-天河区,民营公司,,2年经验 本科 招10人,1000-5000人
审计员,广东智华会计师事务所（普通合伙）,4500,广州-天河区,民营公司,五险一金 员工旅游 通讯补贴 绩效奖金 年终奖金,3-4年经验 本科 招若干人,50-150人
财务经营分析经理,深圳市香蕉数字科技有限公司,25000,广州-天河区,民营公司,全勤奖 绩效奖金 员工旅游 加班补助 专业培训 五险一金 年终奖金 工龄奖 节日福利,5-7年经验 本科 招1人,50-150人
财务经理Finance Manager (Finance Department Head),麦琪管理咨询（广州）有限公司,39583,广州-增城区,民营公司,五险一金 绩效奖金,10年以上经验 本科 招1人,500-1000人
投资分析员,珠海钧誉资产管理有限公司,8000,广州-天河区,民营公司,,在校生/应届生 本科 招2人,少于50人
注册会计师,广州中韬华益税务师事务所有限公司,9000,广州-黄埔区,民营公司,做五休二 周末双休 带薪年假 绩效奖金 节日福利 专业培训,2年经验 本科 招2人,50-150人
TMT研究员,广州市圆石投资管理有限公司,20000,广州-天河区,民营公司,,2年经验 本科 招若干人,少于50人
审计专员,广东云山仓储服务有限公司,7000,广州-白云区,民营公司,绩效奖金 工作餐 优秀员工激励 年资工资 员工活动,3-4年经验 大专 招2人,150-500人
税务销售顾问（广州）,谷川联行有限公司,12500,广州-天河区,民营公司,五险一金 通讯补贴 专业培训 绩效奖金 年终奖金 定期体检,1年经验 大专 招若干人,150-500人
