财务会计专员,广州爱思教育信息咨询有限公司,5750,广州,民营公司,专业培训 节日福利 带薪年假,招1人,少于50人
成本会计（从化上班，包食宿，五险一金）,广州赛莱拉干细胞科技股份有限公司,6000,广州-从化区,上市公司,五险一金 工作环境佳 行业独角兽 带薪年假 上市公司 岗位晋升,1年经验 本科 招1人,150-500人
会计,大圣产业园（广州）有限公司,7000,广州-白云区,民营公司,购买社保 绩效奖金 年终奖金 晋升机会大,2年经验 大专 招若干人,150-500人
会计主管,广东汕泰建筑工程有限公司,7000,广州-白云区,民营公司,社保 周末单休 包住宿 带薪年假,3-4年经验 大专 招2人,50-150人
应付会计,欧菲姿国际彩妆集团,5250,广州-白云区,民营公司,五险 绩效奖金 节日福利 员工旅游 定期体检 餐饮补贴,3-4年经验 大专 招1人,500-1000人
会计,广州怡雅皮具有限公司,6500,广州-花都区,民营公司,五险一金 包吃 包住宿 全勤奖 住房补贴 节日福利 绩效奖金 带薪年假,5-7年经验 大专 招1人,50-150人
会计助理/会计文员,佛山市金帐本文化传播有限公司,5250,广州-白云区,合资,全勤奖 带薪年假 包住宿 绩效奖金 五险一金 专业培训 年终奖金 员工旅游,2年经验 招20人,150-500人
财务会计主管,广州市中庸集团有限公司,10000,异地招聘,民营公司,带薪年假 定期体检 员工旅游 高温补贴 餐费补贴 年终奖金 年度旅游 七险一金 员工活动,3-4年经验 本科 招1人,500-1000人
会计实习生,广州市晨点教育科技有限公司,3000,广州-增城区,民营公司,节日福利 单休 包住宿,在校生/应届生 中专 招2人,少于50人
会计,广州市铭坊装饰工程有限公司,5000,广州-天河区,民营公司,五险一金 节日福利,2年经验 大专 招若干人,少于50人
会计岗,广州国机密封科技有限公司,9000,广州,国企,,在校生/应届生 硕士 招1人,
产品会计,科通国际展览（广州）有限公司,5000,广州-番禺区,民营公司,五险一金 交通补贴 餐饮补贴 通讯补贴 专业培训 出国机会 绩效奖金,1年经验 大专 招1人,50-150人
国际会计财务实习生(2020/2021),广州国盛财务咨询有限公司,3750,广州-天河区,民营公司,周末双休 节日福利 专业培训,在校生/应届生 本科 招若干人,50-150人
直营/销售会计主管,广州卡提娅鞋业有限公司,7000,广州,外资（非欧美）,五险 专业培训 包吃包住 五险一金 通讯补贴 年终奖金 绩效奖金,3-4年经验 大专 招1人,150-500人
会计主管,广州小柒生物技术有限公司,6000,广州-越秀区,民营公司,,5-7年经验 大专 招1人,少于50人
管理会计,广州德隆环境检测技术有限公司,5250,广州-南沙区,民营公司,,3-4年经验 本科 招1人,50-150人
会计主管/会计（6-8K+住宿+双休）,广州广城房地产代理有限公司,7000,广州-白云区,民营公司,包住宿 社保 绩效奖金 全勤奖 节日福利 专业培训 弹性工作,2年经验 大专 招3人,50-150人
会计助理,南方工程检测修复技术研究院,7000,广州-海珠区,民营公司,五险一金 节日福利 交通补贴 通讯补贴,2年经验 本科 招1人,50-150人
会计,广东赛纳威投资控股有限公司,6500,广州-番禺区,民营公司,,2年经验 本科 招1人,少于50人
外账会计,广州诚丰信企业服务有限公司,5250,广州-白云区,民营公司,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 节日福利 全勤奖 带薪年假,2年经验 大专 招5人,50-150人
高薪诚聘会计（财务主管）,广州市通街得地产中介有限公司,9000,广州-番禺区,民营公司,,5-7年经验 大专 招2人,50-150人
会计文员,亚利安货运（广州）有限公司,5250,广州-越秀区,外资（非欧美）,五险一金 餐饮补贴 带薪年假 周末双休,3-4年经验 大专 招1人,少于50人
