审计助理,中天运会计师事务所（特殊普通合伙）广东分所,5250,广州,民营公司,餐饮补贴 周末双休,1年经验 本科 招5人,150-500人
审计实习生,华业向阳（广东）会计师事务所（普通合伙）,2500,广州-番禺区,民营公司,,在校生/应届生 大专 招20人,50-150人
审计实习生,中南智华会计师事务所（广东）有限公司,1750,广州-天河区,民营公司,五险一金 年终奖金 员工旅游 专业培训 周末双休 定期体检,在校生/应届生 大专 招3人,50-150人
财务/审计专员（广州）,中国电子系统工程第二建设有限公司,7000,广州,国企,,本科 招若干人,
审计经理,美尚(广州)化妆品股份有限公司,30000,广州-天河区,民营公司,餐饮补贴 年终奖金 弹性工作 员工旅游 绩效奖金 定期体检 双休 六险一金,5-7年经验 本科 招1人,150-500人
审计与稽核部总经理,潮州华丰集团股份有限公司,29166,异地招聘,民营公司,员工旅游 五险一金 免费班车 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 补充医疗保险 交通补贴,10年以上经验 本科 招1人,500-1000人
PMO项目经理（质量审计）,驴迹科技集团有限公司,22500,广州-天河区,上市公司,五险一金 弹性工作 领导nice 氛围轻松 绩效奖金 年终奖金 周末双休,5-7年经验 本科 招1人,150-500人
审计专员（内审）（广州）,广州广汽商贸物流有限公司,7000,广州,国企,,本科 招1人,
审计专员,广州家和家居文化创意有限公司,6000,广州-海珠区,民营公司,节日福利 绩效奖金 高温补贴 专业培训,1年经验 中专 招1人,150-500人
审计实习生,广东铭太信息科技有限公司,2500,广州,民营公司,,在校生/应届生 招3人,150-500人
财务经理（审计/财务分析）,广州远智教育科技有限公司,12500,广州-黄埔区,民营公司,五险一金 员工旅游 周末双休 餐饮补贴 发展空间大 年终奖金,5-7年经验 大专 招1人,500-1000人
审计助理,广州市光领有限责任会计师事务所,5250,广州-越秀区,民营公司,五险一金 专业培训 绩效奖金 年终奖金 员工旅游 定期体检 交通补贴 餐饮补贴,1年经验 大专 招3人,50-150人
审计专员,广州市忠雄会计师事务所（普通合伙）,7000,广州-海珠区,民营公司,周末双休 五险一金 带薪年假 员工旅游 专业培训 绩效奖金 年终奖金 定期体检 出国机会 包住,2年经验 本科 招5人,50-150人
会计/审计助理,广州名瑞会计师事务所有限公司,9000,广州,民营公司,带薪年假 五险一金 包二餐 节日福利 公司旅游 法定节假日 周末双休,2年经验 大专 招4人,少于50人
工程招标审计主管,广东长隆集团有限公司,12500,广州-番禺区,民营公司,五险一金 专业培训 定期体检 提供食宿 做五休二 包吃 包住宿 节日福利 季度奖年终奖 免费班车,5-7年经验 本科 招1人,5000-10000人
审计经理,广州市澳之星商贸发展有限公司,7000,广州,民营公司,绩效奖金 年终奖金 社保五险 周末双休 提供住宿 朝九晚六,3-4年经验 大专 招1人,150-500人
酒店企业审计专员,广州岭南集团控股股份有限公司,6500,广州,上市公司,上市公司 公司规模大 行业地位 规范管理 五险一金 周末双休 职业发展 免费工作餐 年终奖金,2年经验 本科 招1人,5000-10000人
