核算税务管理师,广东广深沿江高速公路有限公司,9000,异地招聘,民营公司,五险一金 包住宿 包三餐 节日福利,2年经验 本科 招1人,500-1000人
税务管理培训生（2021届） (MJ002160),SHEIN,9000,广州-番禺区,民营公司,,在校生/应届生 本科 招1人,5000-10000人
税务管理管培生,贵州小糊涂仙酒业有限公司,6000,广州-天河区,民营公司,五险一金 通讯补贴 餐饮补贴 绩效奖金 年终奖金 定期体检,在校生/应届生 本科 招若干人,1000-5000人
税务管理岗,广州王老吉大健康产业有限公司,5250,广州-天河区,国企,五险一金 餐饮补贴 年终奖金 定期体检 通讯补贴 包住,3-4年经验 本科 招若干人,10000人以上
税务管理经理,天狮集团有限公司,17500,异地招聘,民营公司,五险一金 免费班车 通讯补贴 绩效奖金 定期体检,5-7年经验 本科 招1人,500-1000人
会计主管,广州小柒生物技术有限公司,6000,广州-越秀区,民营公司,,5-7年经验 大专 招1人,少于50人
外账会计,广州诚丰信企业服务有限公司,5250,广州-白云区,民营公司,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 节日福利 全勤奖 带薪年假,2年经验 大专 招5人,50-150人
税务经理,雪松控股集团-雪松大宗商品供应链集团,17500,广州-黄埔区,民营公司,绩效奖金 年终奖金 交通补贴 通讯补贴 五险一金,10年以上经验 本科 招1人,1000-5000人
跨境电商/财务经理（大小周+朝九晚六）,青为国际贸易（广州）有限公司,16000,广州-白云区,民营公司,,5-7年经验 本科 招1人,少于50人
财务会计（工程建筑  双休）,福建省锦秋建筑工程有限公司广州分公司,12500,广州,民营公司,五险一金 员工旅游 通讯补贴 绩效奖金,8-9年经验 大专 招1人,150-500人
财务经理,汇智国际旅游发展有限公司,12500,广州,合资,带薪年假 五险一金 全勤奖 绩效奖金 专业培训,8-9年经验 本科 招1人,50-150人
财务经理,广州酒家集团利口福食品有限公司,17500,广州,国企,五险一金 包吃 免费班车 节日福利 提供住宿,5-7年经验 本科 招1人,1000-5000人
财务主管,广州市凯泽利科技有限公司,5500,广州-天河区,民营公司,五险一金 员工旅游 周末双休 交通补贴 餐饮补贴 通讯补贴 专业培训,5-7年经验 本科 招1人,50-150人
税筹主管,广州云联科技开发有限公司,10500,广州-花都区,民营公司,五险一金 绩效奖金 年终奖金 员工旅游 全勤奖 带薪年假 节日福利 下午茶,3-4年经验 本科 招1人,50-150人
财务文员,广州市潋江电子有限责任公司,4750,广州-黄埔区,民营公司,做五休二 带薪年假 五险一金 绩效奖金 全勤奖 通讯补贴 下午茶福利 定期体检 年终奖金 节日福利,1年经验 中专 招1人,50-150人
财务经理,广东元德坤投资控股有限公司,11500,广州-番禺区,民营公司,,10年以上经验 本科 招1人,少于50人
总账会计,广西南宁绿田园农业科技有限公司,5750,广州,民营公司,购买五险 绩效奖金 带薪年假 专业培训 意外险,3-4年经验 招1人,150-500人
总账会计,广东南方东海钢铁有限公司,9000,异地招聘,民营公司,,5-7年经验 大专 招1人,1000-5000人
财务经理(百容),广东海大集团股份有限公司,7000,异地招聘,上市公司,五险一金 通讯补贴 专业培训 年终奖金 绩效奖金 包吃包住 节日福利,2年经验 本科 招1人,10000人以上
工程财务,广东润威建设工程有限公司,7000,广州-天河区,民营公司,五险一金 国家法定假日 餐饮补贴,3-4年经验 大专 招2人,50-150人
税务主管,固生堂中医连锁集团,11500,广州,民营公司,五险一金 员工旅游 专业培训 定期体检,3-4年经验 本科 招1人,1000-5000人
天河区急聘会计（双休）,广州元通网络科技有限公司,4500,广州-天河区,民营公司,员工旅游 五险一金 补充公积金 交通补贴 专业培训 绩效奖金 年终奖金 弹性工作,2年经验 大专 招1人,少于50人
成本税务会计,广东亮健好药房连锁有限公司,5500,广州-越秀区,民营公司,五险 全勤奖 节日福利 年终奖金 绩效奖金 专业培训 定期生日会 下午茶 员工旅游 弹性工作,3-4年经验 大专 招1人,500-1000人
注册会计师/税务师（项目合作）,广州睿驰明雅管理咨询有限公司,37500,广州-越秀区,民营公司,项目合作 成为合伙人 年薪百万 不用坐班,10年以上经验 本科 招若干人,50-150人
项目全盘会计,远洋集团-华南事业部,12500,广州-天河区,上市公司,五险一金 餐饮补贴 补充医疗保险 绩效奖金 年终奖金,2年经验 本科 招若干人,150-500人
财务副经理,中科检测技术服务（广州）股份有限公司,18750,广州-天河区,国企,带薪年假 节日福利 专业培训 餐饮补贴 企业年金 绩效奖金 定期体检 晋升通畅 重点项目 六险两金,3-4年经验 本科 招1人,500-1000人
税务核算总监,广州润城实业集团有限公司,17500,广州-天河区,民营公司,五险一金 员工旅游 定期体检 交通补贴 通讯补贴 专业培训 过节费 高温补贴,5-7年经验 本科 招1人,500-1000人
总帐会计,创合环保科技（广州）有限公司,7000,广州-白云区,民营公司,,8-9年经验 本科 招1人,少于50人
财务经理,广州谷雨生物科技有限公司,17500,广州,民营公司,五险一金 绩效奖金 年终奖金 员工旅游 定期体检 周末双休,5-7年经验 本科 招1人,150-500人
跨境电商财务经理,广州广尔数码供应链集团股份有限公司,12500,广州-天河区,上市公司,做五休二 周末双休 带薪年假 五险一金 绩效奖金 通讯补贴 节日福利 专业培训,3-4年经验 本科 招1人,150-500人
税务主管,广州滴普科技有限公司,12500,广州-海珠区,民营公司,五险一金 交通补贴 弹性工作 节日福利 生日福利 团队活动,3-4年经验 本科 招1人,500-1000人
财务总监,广州元通电子商务科技有限公司,30000,广州,民营公司,五险一金 定期体检 餐饮补贴 年终奖金 专业培训 周末双休 节日福利,5-7年经验 本科 招1人,少于50人
财务顾问（中级证）,正誉财税顾问（广州）有限公司,12500,广州-荔湾区,民营公司,五险一金 出国机会 交通补贴 年终奖金 股票期权 通讯补贴 绩效奖金 员工旅游,5-7年经验 大专 招1人,150-500人
资深财税顾问（集团急聘）,正誉企业管理(广东)集团股份有限公司,12500,广州-荔湾区,民营公司,员工旅游 绩效奖金 年终奖金 周末双休 带薪年假 全勤奖 节日福利 专业培训 高温补贴 通讯补贴,5-7年经验 大专 招1人,150-500人
财务专员,广州翰德源善医药科技有限公司,6000,广州-天河区,民营公司,,在校生/应届生 本科 招2人,50-150人
税务会计,广州素萃化妆品有限公司,8000,广州-白云区,民营公司,,3-4年经验 大专 招1人,500-1000人
财务经理,广州中友信息科技有限公司,30000,广州-天河区,民营公司,,5-7年经验 大专 招1人,50-150人
财务储干（广州）,深圳市富安娜家居用品股份有限公司,5250,广州,上市公司,,大专 招5人,
财务经理,广州喜漾新媒体科技有限公司,12500,广州-海珠区,民营公司,五险一金 出国机会 绩效奖金 年终奖金 员工旅游 定期体检,5-7年经验 大专 招若干人,50-150人
财税筹划主管,广东快商科技有限公司,25000,广州-海珠区,民营公司,绩效奖金 年终奖金 全勤奖 股权激励 五险,3-4年经验 大专 招2人,50-150人
财务主管/经理（制造业）,筑友智造建设科技集团有限公司广东分公司,15000,广州-番禺区,民营公司,包住宿 节日福利 餐饮补贴 高温补贴 五险一金 通讯补贴 绩效奖金 定期体检 年终奖金,5-7年经验 本科 招1人,
资深税务专员,广州速贸天下科技有限公司,7000,广州-白云区,民营公司,带薪年假 全勤奖 节日福利 绩效奖金 弹性工作 通讯补贴 工龄奖 五险 年终奖金,5-7年经验 大专 招1人,50-150人
成本会计,广州市华南农大生物药品有限公司,7000,广州-增城区,上市公司,带薪年假 五险一金 通讯补贴 年终奖金 餐饮补贴 补充医疗保险 定期体检 员工旅游 弹性工作 周末双休,2年经验 本科 招1人,150-500人
财务审计副经理/经理,广东华标创业集团有限公司,11500,广州,民营公司,,5-7年经验 本科 招1人,150-500人
财务经理,广东天穗律师事务所,12500,广州-天河区,民营公司,,5-7年经验 本科 招1人,150-500人
财务主管,广州童湾科技有限公司,8000,广州-黄埔区,外资（非欧美）,年终奖金 五险，双休 加班补贴 带薪年假,3-4年经验 大专 招1人,50-150人
会计（国机密封）,国机智能科技有限公司,8000,广州-黄埔区,国企,带薪年假 包吃 六险二金 经营奖金 住房补贴 加班补贴 交通补贴 专业培训 节日福利,2年经验 本科 招1人,1000-5000人
货代财务总监,卓志供应链集团,20500,广州-黄埔区,民营公司,周末双休 带薪年假 五险一金 绩效奖金 节日福利 高温补贴 定期体检,5-7年经验 本科 招1人,1000-5000人
财务经理,广东意高能源科技股份有限公司,12500,广州-番禺区,民营公司,五险一金 绩效奖金 年终奖金 股票期权 周末双休,10年以上经验 本科 招1人,150-500人
财务经理,广州奥盛电子科技有限公司,16500,广州-天河区,民营公司,员工旅游 餐饮补贴 通讯补贴 出国机会 专业培训 绩效奖金 年终奖金,5-7年经验 本科 招1人,150-500人
分公司财务经理（外派海南）,华海鹏城酒业（集团）有限公司,12500,异地招聘,民营公司,五险一金 绩效奖金 年终奖金 定期体检 专业培训 弹性工作 交通补贴,3-4年经验 大专 招若干人,500-1000人
会计,广东大鼎建设工程有限公司,5250,广州-天河区,民营公司,年终奖金 员工旅游 社保 节日礼金,大专 招若干人,50-150人
财务主管,猫王（广东）互联网科技有限公司,5500,广州-黄埔区,民营公司,全勤奖 节日福利 交通补贴 加班补贴 五险一金 单休 员工旅游 出国机会 通讯补贴 弹性工作,1年经验 大专 招若干人,50-150人
财务总监,广东杉木药业有限公司,22500,广州,民营公司,五险一金 员工旅游 绩效奖金 周末双休 带薪年假 节日福利,3-4年经验 大专 招1人,150-500人
财务经理/主管,保利和乐教育华南公司,10000,广州-海珠区,国企,五险一金 交通补贴 通讯补贴 定期体检 年终奖金 员工旅游 节日福利 带薪年假,3-4年经验 本科 招1人,150-500人
财务专员,广州云印信息科技有限公司,5250,广州-黄埔区,民营公司,员工旅游 餐饮补贴 出国机会 年终奖金 弹性工作 专业培训 五险,1年经验 大专 招1人,50-150人
