管理会计,广州德隆环境检测技术有限公司,5250,广州-南沙区,民营公司,,3-4年经验 本科 招1人,50-150人
管理会计专员,广州市大枣信息科技有限公司,5250,广州-南沙区,民营公司,五险一金 年终奖金 绩效奖金 工作餐 专业培训 定期体检 员工旅游,1年经验 本科 招1人,50-150人
管理会计（应届毕业生）,鸿星尔克集团广东分公司,3750,广州-海珠区,民营公司,绩效奖金 定期体检 员工旅游 五险一金 专业培训 年终奖金,1年经验 大专 招若干人,1000-5000人
应付管理会计,广东全优加教育发展有限公司,5500,广州-海珠区,民营公司,餐饮补贴 专业培训 绩效奖金 年终奖金 补充医疗保险 五险一金 周末双休,2年经验 大专 招1人,1000-5000人
管理会计,广州市金穗社区少年宫,12500,广州,民营公司,员工旅游 专业培训 绩效奖金 年终奖金 弹性工作 带薪年假 交通补贴 节日福利 五险,5-7年经验 本科 招1人,150-500人
管理会计,广东海王医药集团有限公司,11250,广州-天河区,上市公司,五险一金 提供住宿 绩效奖金 员工旅游 交通补贴 通讯补贴 年终奖金,2年经验 大专 招1人,150-500人
成本会计-管理会计（作业成本法-质量成本）,广州欧的科技有限公司,6500,广州-白云区,民营公司,,5-7年经验 大专 招1人,50-150人
管理会计,中信环境技术（广州）有限公司,6000,广州-天河区,国企,五险一金 补充医疗保险 员工旅游 通讯补贴 绩效奖金 年终奖金 定期体检 专业培训 股票期权 超长年休假,3-4年经验 本科 招1人,1000-5000人
管理会计,广州市桐乐康复医疗有限公司,7000,广州-荔湾区,民营公司,周末双休 购买五险 定期体检 员工旅游 带薪年假 节日福利,5-7年经验 大专 招1人,150-500人
预算管理会计,广东省新一代通信与网络创新研究院,14583,广州-黄埔区,非营利组织,五险一金 绩效奖金 年终奖金 商业保险 定期体检 弹性工作 周末双休 通勤班车 带薪年假 扁平管理,3-4年经验 本科 招1人,150-500人
管理会计经理,广东雄塑科技集团股份有限公司,21500,异地招聘,上市公司,五险一金 年终奖金 免费班车 员工旅游,5-7年经验 本科 招1人,1000-5000人
管理会计,广东槊精实业有限公司,3750,广州-天河区,民营公司,员工旅游 专业培训 年终奖金 补充意外保险 带薪年假 工作餐,2年经验 大专 招1人,150-500人
集团管理会计师（P3级）,金发科技股份有限公司,13333,广州,上市公司,五险一金 绩效奖金 年终奖金 季度奖金 年度旅游 带薪年假 节日福利 包住宿 体检 周末双休,3-4年经验 本科 招若干人,5000-10000人
管理会计主管,广州市钱大妈农产品有限公司,9000,广州-海珠区,民营公司,包吃中餐 员工旅游 专业培训 绩效奖金 年终奖金 定期体检 五险一金 带薪年假 节日福利 出国机会,5-7年经验 本科 招1人,1000-5000人
管理会计（财务分析方向）,广州亚美信息科技有限公司,9000,广州,民营公司,绩效奖金 五险一金 专业培训 带薪年假 年终奖金 弹性工作 员工旅游 定期体检 节日福利 做五休二,2年经验 本科 招2人,500-1000人
管理会计,广州尚安家居系统集成有限公司,8500,广州,民营公司,五险 补充医疗保险 专业培训 绩效奖金 年终奖金 餐饮补贴 话费补贴,2年经验 本科 招1人,150-500人
管理会计,广州雅西皮具有限公司,12500,广州-花都区,合资,,5-7年经验 大专 招1人,500-1000人
管理会计,雪松控股集团-雪松大宗商品供应链集团,5750,广州,民营公司,周末双休 五险一金 包住宿 节日福利 交通补贴 餐饮补贴,2年经验 本科 招1人,1000-5000人
管理会计,广州市仟壹生物技术有限公司,9500,广州,民营公司,五险一金 员工旅游 绩效奖金 年终奖金 定期体检 通讯补贴 餐饮补贴,5-7年经验 本科 招1人,150-500人
管理会计,广州好莱客创意家居股份有限公司,7000,广州-从化区,上市公司,五险一金 绩效奖金 节日福利 生日礼品 带薪年假 年终奖金 餐饮补贴 包住宿,1年经验 本科 招2人,1000-5000人
管理会计,广州奈瑞儿美容科技有限公司,7000,广州,民营公司,带薪年假 五险一金 包住宿 节日福利 专业培训 员工旅游 定期体检,2年经验 本科 招若干人,1000-5000人
管理会计,广州易达建信科技开发有限公司,5500,广州,民营公司,五险一金 年终奖金 节日福利 周末双休 带薪年假,1年经验 本科 招1人,150-500人
管理会计主管,中航云电信股份有限公司,12500,广州-天河区,民营公司,五险一金 员工旅游 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检,5-7年经验 本科 招若干人,50-150人
